affixe,chiens,presentations,resultats,points,chiens_resultats,haut_niveau,CACIT,RCACIT,CACT,RCACT,EXC,TB,CQN,taux_resultat,score_moyen_presentation,points_moyens_par_chien,pct_chiens_resultats,fiabilite,chiens_leaders,disciplines_fortes,indice_affixe
DEL SARGIADAE,5,54,3,130,2,0,0,0,0,0,2,1,0,0.05555555555555555,2.4074074074074074,26.0,0.4,exploitable,"BELEN DEL SARGIADAE, MARRACACH DEL SARGIADAE, BOLERO DEL SARGIADAE","grande_quete, printemps, becasse",33.660799015078744
DU BOIS DE LA MUSE,1,54,6,320,1,1,0,0,1,0,4,1,0,0.1111111111111111,5.925925925925926,320.0,1.0,échantillon faible,FOXY LADY DU BOIS DE LA MUSE,"becasse, printemps, montagne",33.600258185404975
DI MONTE ERICE,1,39,3,235,1,2,1,0,1,0,1,0,0,0.07692307692307693,6.0256410256410255,235.0,1.0,échantillon faible,BAGGIO DI MONTE ERICE,"printemps, discipline_non_identifiee, becasse",33.474490387141195
DU VALLON DE FONGRANE,1,13,3,153,1,1,0,0,0,1,1,1,0,0.23076923076923078,11.76923076923077,153.0,1.0,échantillon faible,LOU DU VALLON DE FONGRANE,becasse,33.44503900213809
DE LA MALETIERE,2,66,7,359,2,0,0,0,0,0,6,1,0,0.10606060606060606,5.4393939393939394,179.5,1.0,échantillon faible,"JOKER DE LA MALETIERE, HULK DE LA MALETIERE","becassine, becasse, printemps",33.42823632698021
DU CENTRE BRETAGNE,1,30,6,314,1,0,0,0,0,0,5,1,0,0.2,10.466666666666667,314.0,1.0,échantillon faible,LINE DU CENTRE BRETAGNE,"becasse, discipline_non_identifiee",33.40963776878617
DES LANDES MELECIENNES,1,32,5,262,1,1,0,0,1,0,2,2,0,0.15625,8.1875,262.0,1.0,échantillon faible,INDIA DES LANDES MELECIENNES,"becasse, discipline_non_identifiee",33.39740162455644
DU HAUT DES FEYTAUDS,2,19,5,260,2,0,0,0,0,0,4,1,0,0.2631578947368421,13.68421052631579,130.0,1.0,échantillon faible,"SOUSTONS DU HAUT DES FEYTAUDS, RED-HOT DU HAUT DES FEYTAUDS",becasse,33.332156058408216
DE LA TOUR TARADEL,1,65,5,302,1,1,0,0,1,0,4,0,0,0.07692307692307693,4.6461538461538465,302.0,1.0,échantillon faible,SACHA DE LA TOUR TARADEL,"becasse, printemps, discipline_non_identifiee",33.29117216711781
DES BELLES DE BEAULIEU,3,70,3,130,1,0,0,0,0,0,2,0,1,0.04285714285714286,1.8571428571428572,43.333333333333336,0.3333333333333333,exploitable,"RODOM DES BELLES DE BEAULIEU, TARO DES BELLES DE BEAULIEU, TYAGHO DES BELLES DE BEAULIEU","grande_quete, printemps, becasse",33.188322544115714
