chien_uid;nom_chien_affiche;identifiant;affixe;discipline_norm;presentations;resultats;points;CACIT;RCACIT;CACT;RCACT;EXC;TB;CQN;taux_resultat;score_moyen_presentation
SHADOW DE ROC'H KIRIO | 250268780022637;SHADOW DE ROC'H KIRIO;250268780022637;DE ROC'H KIRIO;becasse;43;12;850;0;0;6;1;5;0;0;0.2791;19.7674
O'HARA DU FER SERVADOU | 250269590021962;O'HARA DU FER SERVADOU;250269590021962;DU FER SERVADOU;printemps;46;13;849;1;0;2;3;7;0;0;0.2826;18.4565
ROMY DES SAULES CHAUCHEENNE | 250269100218625;ROMY DES SAULES CHAUCHEENNE;250269100218625;DES SAULES CHAUCHEENNE;printemps;43;12;847;1;0;6;0;5;0;0;0.2791;19.6977
JANEIRO DU RIO PARANA | 250269810529169;JANEIRO DU RIO PARANA;250269810529169;DU RIO PARANA;printemps;47;15;832;0;0;3;1;9;2;0;0.3191;17.7021
METIS DU PUY DU FOUGEROUX | 250269802606680;METIS DU PUY DU FOUGEROUX;250269802606680;DU PUY DU FOUGEROUX;becasse;51;13;830;1;0;4;0;7;1;0;0.2549;16.2745
SHANEL DE LA JOUX DE LA BECASSE | 250268743435312;SHANEL DE LA JOUX DE LA BECASSE;250268743435312;DE LA JOUX DE LA BECASSE;becasse;67;14;824;0;0;3;1;9;1;0;0.209;12.2985
HOZANE DES CROIX BIGAULT | 2HAD530;HOZANE DES CROIX BIGAULT;2HAD530;DES CROIX BIGAULT;printemps;54;15;822;0;0;3;1;7;4;0;0.2778;15.2222
IMA DE LA DAME AU LONG BEC | 125GLX;IMA DE LA DAME AU LONG BEC;125GLX;DE LA DAME AU LONG BEC;becasse;53;13;819;0;1;5;0;5;2;0;0.2453;15.4528
MOZART DE L'ECHO DE SAINT JEAN | 250268500990989;MOZART DE L'ECHO DE SAINT JEAN;250268500990989;DE L'ECHO DE SAINT JEAN;becasse;54;13;810;0;0;4;3;4;2;0;0.2407;15.0
JEX DES COTEAUX DU GRAND MOULIN | 250269810321282;JEX DES COTEAUX DU GRAND MOULIN;250269810321282;DES COTEAUX DU GRAND MOULIN;printemps;60;14;808;0;0;3;1;8;2;0;0.2333;13.4667
ORIO DES SAGNES DES MILLE SOURCES | 250269608111440;ORIO DES SAGNES DES MILLE SOURCES;250269608111440;DES SAGNES DES MILLE SOURCES;becasse;66;13;807;0;1;4;1;5;1;1;0.197;12.2273
SIAM DU LONG BEC D'ENCHANET | 250268743851068;SIAM DU LONG BEC D'ENCHANET;250268743851068;DU LONG BEC D'ENCHANET;becasse;49;14;804;0;0;2;4;5;2;1;0.2857;16.4082
RAGNAR DE L'ECHO DE LA FORET | 250268780066704;RAGNAR DE L'ECHO DE LA FORET;250268780066704;DE L'ECHO DE LA FORET;discipline_non_identifiee;28;14;795;1;0;2;2;5;4;0;0.5;28.3929
